"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","weight","msrp","status","is_recurring","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","creareseo_discontinued","creareseo_discontinued_product","measure","sku_type","weight_type","price_type","price_view","shipment_type","website","_media_image","_media_lable","_media_position","_media_is_disabled","credit_value"
"admin","base","Default","simple","3,4,7","dry-fish-okporoko","0","Dry Fish (Okporoko)","","","/d/r/dry_fish_okporoko_.jpg","/d/r/dry_fish_okporoko_.jpg","/d/r/dry_fish_okporoko_.jpg","dry-fish-okporoko","dry-fish-okporoko.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1200.0000","","1.0000","","Enabled","No","Catalog, Search","None","Dry Fish Okporoko with 1 piece orange","Dry Fish Okporoko with 1 piece orange","","","","","","","","","1995.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Dry Fish (Okporoko)","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","grouped","3,4,5,6,7","egusi2001","0","Boneless Chicken Egusi Soup Things","","","/b/o/boneless_chicken_breast.jpg","/b/o/boneless_chicken_breast.jpg","/b/o/boneless_chicken_breast.jpg","boneless-chicken-egusi-soup-things","boneless-chicken-egusi-soup-things.html","","No layout updates","Product Info Column","","",""," ","","","No","","","","","Enabled","","Catalog, Search","","Boneless Chicken Egusi Soup Things suitable for 4 People","Things for Egusi Soup","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Boneless Chicken Egusi Soup Things","0","grouped","","","","","","","","","","","","","","","",""
"admin","base","Default","bundle","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","rice-bundle-2","1","Rice Bundle","","","/c/h/chicken_wings_zatech_.jpg","/c/h/chicken_wings_zatech_.jpg","/c/h/chicken_wings_zatech_.jpg","rice-bundle","rice-bundle.html","","No layout updates","Product Info Column","","",""," ","No","","No","","30.0000","1.0000","","Enabled","","Catalog, Search","","Evron value pack. For your everyday items.","Evron value pack. For your everyday items.","","","2015-11-27 00:00:00","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Rice Bundle","0","bundle","","","","","","1","1","0","As Low as","0","","","","","",""
"admin","base","Default","bundle","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","rice2991","1","Sprayed Rice Bundle","","","/b/e/beeft_extra_lean_1.jpg","/b/e/beeft_extra_lean_1.jpg","/b/e/beeft_extra_lean_1.jpg","sprayed-rice-bundle","sprayed-rice-bundle.html","","No layout updates","Product Info Column","","",""," ","No","Use config","No","0.0000","20.0000","21.0000","","Enabled","","Catalog, Search","None","Sprayed Rice Bundle","Sprayed Rice Bundle","","","2015-11-28 00:00:00","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Sprayed Rice Bundle","0","bundle","","","","","","1","1","1","As Low as","0","","","","","",""
"admin","","","","","rice2991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/b/e/beef_quarters.jpg","","2","0",""
"admin","base","Measure","configurable","18","stew-12","1","Stew Things","","","/b/e/beef-stew-tastefood-11.jpg","/b/e/beef-stew-tastefood-11.jpg","/b/e/beef-stew-tastefood-11.jpg","stew-things","stew-things.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2000.0000","","","","Enabled","","Catalog, Search","None","All the ingredients you need to make your super duper cool stew","All the ingredients you need to make your super duper cool stew","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Stew Things","0","configurable","","","","","","","","","","","","","","","",""
"admin","base","Default","grouped","3,18","oha","0","Oha Soup","","","/2/1/2172053.jpg","/2/1/2172053.jpg","/2/1/2172053.jpg","oha-soup","oha-soup.html","","No layout updates","Product Info Column","","",""," ","","","No","","","","","Enabled","","Catalog, Search","","Ingredients for your igbo made Oha soup","Ingredients for your igbo made Oha soup","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Oha Soup","0","grouped","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,14,22","ewedu1","1","Ewedu Leaf","","","/2/4/247-ewedu.jpg","/2/4/247-ewedu.jpg","/2/4/247-ewedu.jpg","ewedu-leaf","ewedu-leaf.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1000.0000","900.0000","1.0000","","Enabled","No","Catalog, Search","None","Ewedu Leaf","Ewedu Leaf","","","2015-12-04 00:00:00","","","","","","800.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ewedu Leaf","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Measure","configurable","2,3,4,14,22","ewedu2","1","Ewedu Special","","","/1/5/153_ata_rodo.jpg","/1/5/153_ata_rodo.jpg","/1/5/153_ata_rodo.jpg","ewedu-special","ewedu-special.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2000.0000","","","","Enabled","","Catalog, Search","None","Ewedu Special","Ewedu Special","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ewedu Special","0","configurable","","","","","","","","","","","","","","","",""
"admin","","","","","ewedu2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/2/4/247-ewedu_2.jpg","","1","0",""
"admin","base","Default","grouped","3,4,10,11,12,13,14","rosa-tinned","0","Rosa Tinned Tomatoe Set","","","/1/5/159_rosa_tinned_tomatoes.jpg","/1/5/159_rosa_tinned_tomatoes.jpg","/1/5/159_rosa_tinned_tomatoes.jpg","rosa-tinned-tomatoe-set","rosa-tinned-tomatoe-set.html","","No layout updates","Product Info Column","","",""," ","","","No","","","","","Enabled","","Catalog, Search","","Rosa Tinned Tomatoe Set","Rosa Tinned Tomatoe Set","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Rosa Tinned Tomatoe Set","0","grouped","","","","","","","","","","","","","","","",""
"admin","base","Measure","simple","","ewedu2-Small","0","Ewedu Special-Small","","","/1/5/159_rosa_tinned_tomatoes_2.jpg","/1/5/159_rosa_tinned_tomatoes_2.jpg","/1/5/159_rosa_tinned_tomatoes_2.jpg","ewedu-special-small","ewedu-special-small.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","2000.0000","","1.0000","","Enabled","No","Not Visible Individually","None","Ewedu Special","Ewedu Special","","","","","","","","","3000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ewedu Special-Small","0","simple","","","","","Small","","","","","","","","","","",""
"admin","base","Measure","simple","","ewedu2-Large","0","Ewedu Special-Large","","","/1/5/159_rosa_tinned_tomatoes_1.jpg","/1/5/159_rosa_tinned_tomatoes_1.jpg","/1/5/159_rosa_tinned_tomatoes_1.jpg","ewedu-special-large","ewedu-special-large.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1000.0000","","1.0000","","Enabled","No","Not Visible Individually","None","Ewedu Special","Ewedu Special","","","","","","","","","3000.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Ewedu Special-Large","0","simple","","","","","Large","","","","","","","","","","",""
"admin","base","Default","simple","3,17","pepper1","0","Pepper","","","/1/5/153_ata_rodo_1.jpg","/1/5/153_ata_rodo_1.jpg","/1/5/153_ata_rodo_1.jpg","pepper","pepper.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","1.0000","","Enabled","No","Catalog, Search","None","Pepper","Pepper","","","","","","","","","500.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","0","1","Pepper","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","4,9","chi-chicken13","0","Chi Smoked Chicken","","","/8/2/82_smoked_chicken_2.jpg","/8/2/82_smoked_chicken_2.jpg","/8/2/82_smoked_chicken_2.jpg","chi-smoked-chicken","chi-smoked-chicken.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","300.0000","","1.0000","","Enabled","No","Catalog, Search","None","Chi Smoked Chicken ","Chi Smoked Chicken","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-07 10:07:03","","1","0","1","0","1","0.0000","1","0","0","0","1","Chi Smoked Chicken","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,17","knoor1","0","Knoor Chicken Cubes (Packet)","","","/7/5/75_knoor_chicken_cubes.jpg","/7/5/75_knoor_chicken_cubes.jpg","/7/5/75_knoor_chicken_cubes.jpg","knoor-chicken-cubes-packet","knoor-chicken-cubes-packet.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1500.0000","","1.0000","","Enabled","No","Catalog, Search","None","Packet of Knoor Maggi Chicken Cubes","Packet of Knoor Maggi Chicken Cubes","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-07 10:50:08","","1","0","1","0","1","0.0000","1","0","0","0","1","Knoor Chicken Cubes (Packet)","0","simple","","","","","","","","","","","","","","","",""
"admin","base","Default","simple","3,17","maggi-chicken-cubes1","0","Maggi Chicken Cubes (Pack)","","","/1/8/184_maggi_chicken_cubes.jpg","/1/8/184_maggi_chicken_cubes.jpg","/1/8/184_maggi_chicken_cubes.jpg","maggi-chicken-cubes-pack","maggi-chicken-cubes-pack.html","","No layout updates","Product Info Column","","",""," ","Use config","Use config","No","1400.0000","","1.0000","","Enabled","No","Catalog, Search","None","Maggi Chicken Cubes (Pack)","Maggi Chicken Cubes (Pack)","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","2015-12-07 17:41:37","","1","0","1","0","1","0.0000","1","0","0","0","1","Maggi Chicken Cubes (Pack)","0","simple","","","","","","","","","","","","","","","",""
